TSTEPS,N,exact,dicho,gist_exact,gist_dicho
100,500,6.766767,0.205924,2.290227,0.166631
200,500,13.521737,0.451457,4.580009,0.372188
300,500,20.238761,0.71824,6.860607,0.59745
400,500,27.033655,0.993173,9.098068,0.842986
500,500,33.74361,1.282273,11.390646,1.071451
100,600,9.86769,0.301051,3.285952,0.235301
100,700,13.499028,0.400386,4.491978,0.325298
100,800,18.051018,0.51176,5.852322,0.422514
100,900,22.103338,0.662114,7.421662,0.530826
100,1000,27.277273,0.816762,9.160156,0.650564
