N,exact,dicho,gist_exact,gist_dicho
100,0.180554,0.006129,,0.005753
200,1.251381,0.046869,,0.042734
300,4.111221,0.157319,,0.150425
400,9.273911,0.38196,,0.357972
500,17.959425,0.759886,,0.714688
600,,1.3428,,1.267973
700,,2.172151,,2.014408
800,,3.261458,,3.03614
900,,4.7114,,4.434662
1000,,6.538096,,6.135157
